Progressive fine granular scalable (PFGS) video using advance-predicted bitplane coding (APBIC).,2001,https://doi.org/10.1109/ISCAS.2001.921994,ISCAS (5)
Network-adaptive rate control with unequal loss protection for scalable video over Internet.,2001,https://doi.org/10.1109/ISCAS.2001.921997,ISCAS (5)
A power-optimized joint source channel coding for scalable video streaming over wireless channel.,2001,https://doi.org/10.1109/ISCAS.2001.922004,ISCAS (5)
A sender-adaptive and receiver-driven layered multicast scheme for video over Internet.,2001,https://doi.org/10.1109/ISCAS.2001.922005,ISCAS (5)
A new rate allocation scheme for progressive fine granular scalable coding.,2001,https://doi.org/10.1109/ISCAS.2001.921091,ISCAS (2)
End-to-end power-optimized video communication over wireless channels.,2001,https://doi.org/10.1109/MMSP.2001.962774,MMSP
Network-Adaptive Cache Management Schemes for Mixed Media.,2001,https://doi.org/10.1007/3-540-45453-5_88,IEEE Pacific Rim Conference on Multimedia
Channel-adaptive unequal error protection for scalable video transmission over wireless channel.,2001,https://dblp.org/rec/conf/vcip/WangZZZ01.html,VCIP
Joint power control and source-channel coding for video communication over wireless networks.,2001,https://doi.org/10.1109/VTC.2001.956481,VTC Fall
On network bandwidth sharing for transporting rate-adaptive packet video using feedback.,2000,https://doi.org/10.1002/(SICI)1099-1131(200003)13:2<117::AID-DAC407%3E3.0.CO;2-N,Int. J. Commun. Syst.
An end-to-end approach for optimal mode selection in Internet video communication: theory and application.,2000,https://doi.org/10.1109/49.848251,IEEE J. Sel. Areas Commun.
Transporting real-time video over the Internet: challenges and approaches.,2000,https://doi.org/10.1109/5.899055,Proc. IEEE
Scalable rate control for MPEG-4 video.,2000,https://doi.org/10.1109/76.867926,IEEE Trans. Circuits Syst. Video Technol.
On end-to-end architecture for transporting MPEG-4 video over the Internet.,2000,https://doi.org/10.1109/76.867930,IEEE Trans. Circuits Syst. Video Technol.
New fast binary pyramid motion estimation for MPEG2 and HDTV encoding.,2000,https://doi.org/10.1109/76.875506,IEEE Trans. Circuits Syst. Video Technol.
Optimal Mode Selection in Internet Video Communication: An End-To-End Approach.,2000,https://doi.org/10.1109/ICC.2000.853106,ICC (1)
On the Compression of Image Based Rendering Scene.,2000,https://doi.org/10.1109/ICIP.2000.899214,ICIP
Scalable Object-Based Video Multicasting over the Internet.,2000,https://doi.org/10.1109/ICIP.2000.899501,ICIP
DCT-Prediction Based Progressive Fine Granularity Scalability Coding.,2000,https://doi.org/10.1109/ICIP.2000.899504,ICIP
Network-Adaptive Rate Control With TCP-Friendly Protocol for Multiple Video Objects.,2000,https://doi.org/10.1109/ICME.2000.871542,IEEE International Conference on Multimedia and Expo (II)
A confidence measure based moving object extraction system built for compressed domain.,2000,https://doi.org/10.1109/ISCAS.2000.857353,ISCAS
